date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:33	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:09:07%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3778	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index9603.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:39:42	313512/313512	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:09:34%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3759	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3759.896.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:39:54	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:08:59%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3782	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/indexcb72.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:00	313564/313564	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:09:55%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3741	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3741.897.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:19	393282/393282	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:09:14%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3777	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index5772.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:22	311253/311253	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:10:20%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3740	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3740.898.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:29	393174/393174	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:09:25%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3776	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index5ad9.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:33	311202/311202	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:10:30%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3739	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3739.899.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:47	395667/395667	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:09:43%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3774	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index9cb8.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:40:51	313686/313686	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:10:49%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3737	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3737.89a.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
